,city,lat,lng,country,population
23120,Utuado,18.2697,-66.7049,Puerto Rico,7160.0
23121,Green Brook,40.6038,-74.4825,United States,7158.0
23122,Gonzales,29.5126,-97.4472,United States,7158.0
23123,Outokumpu,62.725,29.0167,Finland,7139.0
23124,Teshikaga,43.4853,144.4592,Japan,7145.0
23125,Calverton,40.9163,-72.7645,United States,7154.0
23126,Wynne,35.2322,-90.7894,United States,7152.0
23127,Ogunimachi,38.0614,139.7433,Japan,7142.0
23128,Tyrone,40.6764,-78.246,United States,7151.0
23129,Lawrenceville,38.7264,-87.6873,United States,7150.0
23130,Fundulea,44.4528,26.5153,Romania,6851.0
23131,Murston,51.341,0.7524,United Kingdom,5300.0
23132,Yardville,40.1849,-74.6603,United States,7148.0
23133,Hoegaarden,50.7833,4.9,Belgium,6942.0
23134,Baie-Saint-Paul,47.45,-70.5,Canada,7146.0
23135,Cottage Grove,43.091,-89.2034,United States,7143.0
23136,De Soto,38.141,-90.5609,United States,7141.0
23137,Palmyra,40.0025,-75.036,United States,7140.0
23138,Gilford,43.5581,-71.385,United States,7139.0
23139,Nappanee,41.4452,-85.9941,United States,7139.0
23140,Portage Lakes,41.0034,-81.5347,United States,7139.0
23141,Merritt,50.1128,-120.7897,Canada,7139.0
23142,Fair Plain,42.0823,-86.4515,United States,7138.0
23143,Atherton,37.4539,-122.2032,United States,7137.0
23144,Bluewater,43.45,-81.6,Canada,7136.0
23145,Nibley,41.6725,-111.8454,United States,7135.0
23146,Dalcahue,-42.3796,-73.6473,Chile,7120.0
23147,Walled Lake,42.538,-83.4786,United States,7134.0
23148,Novy Bydzov,50.2416,15.4909,Czechia,6935.0
23149,Galliano,29.447,-90.3096,United States,7131.0
23150,East Zorra-Tavistock,43.2333,-80.7833,Canada,7129.0
23151,Pinhoe,50.7407,-3.4672,United Kingdom,6454.0
23152,Freeland,43.5198,-84.1124,United States,7125.0
23153,Bednodem'yanovsk,53.9333,43.1833,Russia,7106.0
23154,Letavertes,47.3833,21.9,Hungary,7061.0
23155,Live Oak,30.2956,-82.9847,United States,7118.0
23156,Bonne Terre,37.9209,-90.5426,United States,7118.0
23157,Saveni,47.9533,26.8589,Romania,6999.0
23158,Brook Highland,33.4359,-86.6849,United States,7116.0
23159,Fort Riley,39.1111,-96.8138,United States,7116.0
23160,Givet,50.1381,4.8242,France,6749.0
23161,Myadzyel,54.8756,26.9386,Belarus,7100.0
23162,Calipatria,33.1493,-115.5056,United States,7114.0
23163,Novosokolniki,56.3333,30.15,Russia,7105.0
23164,Colonia Venustiano Carranza,32.2275,-115.1703,Mexico,6098.0
23165,Dubrowna,54.5667,30.6833,Belarus,7100.0
23166,Ebermannstadt,49.7806,11.1848,Germany,6971.0
23167,New Romney,50.985,0.941,United Kingdom,6996.0
23168,Southam,52.252,-1.39,United Kingdom,6567.0
23169,Pinson,33.7057,-86.6674,United States,7106.0
23170,Stoneham-et-Tewkesbury,47.1667,-71.4333,Canada,7106.0
23171,Rishton,53.7701,-2.4187,United Kingdom,6625.0
23172,Gryfow Slaski,51.0308,15.4202,Poland,6943.0
23173,Selma,35.5436,-78.2954,United States,7101.0
23174,Kupiansk,49.7064,37.6167,Ukraine,6893.0
23175,Marble Falls,30.5649,-98.2768,United States,7099.0
23176,Northgate,39.2531,-84.5943,United States,7099.0
23177,Okhansk,57.7167,55.3833,Russia,7087.0
23178,Bedminster,40.4223,-75.1938,United States,7098.0
23179,Stow,42.4298,-71.5115,United States,7098.0
23180,Bridge of Allan,56.155,-3.942,United Kingdom,6762.0
23181,Aya,31.9992,131.2531,Japan,7023.0
23182,Asbestos,45.7667,-71.9333,Canada,7096.0
23183,Juana Diaz,18.0532,-66.5047,Puerto Rico,7095.0
23184,Lake Lorraine,30.4407,-86.5657,United States,7095.0
23185,Lavrinhas,-22.5708,-44.9022,Brazil,7052.0
23186,Fort Myers Beach,26.4324,-81.9168,United States,7094.0
23187,Oberndorf bei Salzburg,47.9417,12.9417,Austria,5815.0
23188,Dunbar,38.3688,-81.7345,United States,7093.0
23189,Neukirchen,50.8667,9.3333,Germany,6986.0
23190,Stadtroda,50.85,11.7333,Germany,6692.0
23191,Ladera Heights,33.9972,-118.374,United States,7090.0
23192,Buzias,45.65,21.6,Romania,7023.0
23193,Genadendal,-34.0333,19.55,South Africa,5663.0
23194,Osceola,35.6942,-89.9934,United States,7085.0
23195,Syracuse,41.4226,-85.7492,United States,7085.0
23196,Neustadt-Glewe,53.3794,11.5883,Germany,7009.0
23197,Andreapol,56.65,32.2667,Russia,7079.0
23198,Marshfield,51.5439,-3.0469,United Kingdom,6270.0
23199,Clarkson,43.2533,-77.9228,United States,7079.0
23200,Flatwoods,38.521,-82.7195,United States,7079.0
23201,Sharhorod,48.75,28.0833,Ukraine,7029.0
23202,Segarcea,44.0919,23.7334,Romania,7019.0
23203,Quievrain,50.4049,3.6829,Belgium,6759.0
23204,Roosevelt,40.2924,-110.0093,United States,7075.0
23205,Milton-Freewater,45.9348,-118.3913,United States,7074.0
23206,Buttstadt,51.1167,11.4167,Germany,6707.0
23207,Dietenheim,48.2119,10.0733,Germany,6715.0
23208,Ben Lomond,37.0782,-122.0882,United States,7071.0
23209,Marne,53.95,9.0,Germany,5858.0
23210,Fort Pierce North,27.4736,-80.3594,United States,7070.0
23211,Wellsville,42.1206,-77.9219,United States,7070.0
23212,Nebraska City,40.6762,-95.8613,United States,7069.0
23213,Huron-Kinloss,44.05,-81.5333,Canada,7069.0
23214,Sausalito,37.858,-122.4932,United States,7068.0
23215,Batesville,34.3147,-89.9249,United States,7068.0
23216,Delaware Township,41.2372,-74.9281,United States,7066.0
23217,Chadegan,32.7683,50.6286,Iran,7037.0
23218,Highland Heights,39.0355,-84.4567,United States,7065.0
23219,Barnesville,33.0509,-84.1527,United States,7064.0
23220,Kravare,49.932,18.0048,Czechia,6717.0
23221,Edenkoben,49.2839,8.1272,Germany,6690.0
23222,Tlapanaloya,19.9358,-99.1019,Mexico,6466.0
23223,Lemoore Station,36.2633,-119.9049,United States,7063.0
23224,East Vincent,40.1684,-75.5946,United States,7062.0
23225,Berrien Springs,41.9474,-86.3403,United States,7060.0
23226,St. Helena,38.5063,-122.4682,United States,7059.0
23227,Polch,50.3011,7.3167,Germany,6821.0
23228,Whitemarsh Island,32.0304,-81.0109,United States,7058.0
23229,Tismana,45.0506,22.9489,Romania,7035.0
23230,Molochans'k,47.2038,35.5985,Ukraine,7040.0
23231,Hudson Falls,43.3042,-73.5818,United States,7056.0
23232,Sandston,37.512,-77.3149,United States,7056.0
23233,Fukuyama,41.43,140.1106,Japan,7032.0
23234,Ungheni,46.4858,24.4608,Romania,6945.0
23235,Noble,35.1385,-97.371,United States,7053.0
23236,Sotuta,20.5968,-89.0082,Mexico,5548.0
23237,Redondo,38.6464,-7.5464,Portugal,7031.0
23238,Pancota,46.3225,21.6869,Romania,6946.0
23239,Oak Ridge,36.174,-79.9916,United States,7049.0
23240,Fort Payne,34.4557,-85.6965,United States,7049.0
23241,Honley,53.6027,-1.7921,United Kingdom,5897.0
23242,Rochester,41.059,-86.196,United States,7046.0
23243,In Guezzam,19.5686,5.7722,Algeria,7045.0
23244,Bothwell,55.8023,-4.0662,United Kingdom,6458.0
23245,Tumut,-35.3047,148.2228,Australia,6230.0
23246,Orange City,43.0023,-96.0566,United States,7044.0
23247,Coteau-du-Lac,45.3,-74.18,Canada,7044.0
23248,Aigina,37.7467,23.4275,Greece,6867.0
23249,Carnarvon,-30.9667,22.1333,South Africa,5785.0
23250,Hecklingen,51.85,11.5167,Germany,6970.0
23251,Moringen,51.7,9.8667,Germany,6956.0
23252,Litochoro,40.1028,22.5069,Greece,6995.0
23253,Gateway,61.5737,-149.2389,United States,7037.0
23254,Marksville,31.1247,-92.0652,United States,7036.0
23255,Truth or Consequences,33.1864,-107.2589,United States,7035.0
23256,Rancho Calaveras,38.1248,-120.857,United States,7035.0
23257,Polessk,54.8667,21.1,Russia,7011.0
23258,Nuevo,33.8011,-117.1415,United States,7033.0
23259,Nagatoro,36.11,139.11,Japan,6809.0
23260,Laurium,47.2351,-88.4382,United States,7032.0
23261,Nagaya,35.4308,140.2269,Japan,6886.0
23262,Sarmasu,46.7536,24.1667,Romania,6942.0
23263,Collinsville,36.7215,-79.9121,United States,7031.0
23264,Newbury,42.7706,-70.8747,United States,7031.0
23265,Blythebridge,52.9704,-2.0709,United Kingdom,5931.0
23266,Archbald,41.5077,-75.5453,United States,7030.0
23267,Amfissa,38.5253,22.3753,Greece,6919.0
23268,Gouverneur,44.3673,-75.4838,United States,7029.0
23269,Osprey,27.1914,-82.48,United States,7028.0
23270,Willis,30.4314,-95.4832,United States,7028.0
23271,Neo Karlovasi,37.7917,26.7051,Greece,6708.0
23272,Cannonvale,-20.2863,148.6866,Australia,5716.0
23273,Krasno nad Kysucou,49.3978,18.8364,Slovakia,6783.0
23274,The Blue Mountains,44.4833,-80.3833,Canada,7025.0
23275,Meopham,51.364,0.36,United Kingdom,6722.0
23276,Aridaia,40.975,22.0583,Greece,6561.0
23277,Eston,54.56,-1.144,United Kingdom,7005.0
23278,Abercynon,51.6445,-3.3267,United Kingdom,6390.0
23279,East End,34.5554,-92.3261,United States,7019.0
23280,Kiel,43.9167,-88.0266,United States,7018.0
23281,Racari,44.6333,25.7333,Romania,6930.0
23282,Kistelek,46.4731,19.98,Hungary,6917.0
23283,Wigton,54.823,-3.159,United Kingdom,5831.0
23284,Carlton,52.967,-1.088,United Kingdom,6881.0
23285,Mount Carmel,38.4187,-87.7694,United States,7016.0
23286,Newbridge,51.67,-3.136,United Kingdom,6509.0
23287,Reichelsheim,50.3569,8.8725,Germany,6769.0
23288,Carnforth,54.123,-2.766,United Kingdom,5560.0
23289,Geithain,51.05,12.6833,Germany,6888.0
23290,Bonndorf im Schwarzwald,47.8194,8.3431,Germany,6922.0
23291,Polgardi,47.0538,18.3049,Hungary,6917.0
23292,Vyerkhnyadzvinsk,55.7667,27.9333,Belarus,7000.0
23293,Fort Myers Shores,26.7135,-81.7383,United States,7010.0
23294,San Martin,37.0829,-121.5963,United States,7010.0
23295,Whitewater Region,45.7167,-76.8333,Canada,7009.0
23296,Virrat,62.2403,23.7708,Finland,7002.0
23297,Preesall,53.917,-2.967,United Kingdom,5694.0
23298,Cazenovia,42.9122,-75.8636,United States,7007.0
23299,Point Vernon,-25.2538,152.8177,Australia,5699.0
23300,Vorozhba,51.1749,34.2299,Ukraine,6972.0
23301,West Glens Falls,43.3019,-73.6874,United States,7005.0
23302,St. Augustine Beach,29.8414,-81.2713,United States,7004.0
23303,Velika Kladusa,45.1667,15.8,Bosnia And Herzegovina,6902.0
23304,Kouango,4.9667,19.9833,Central African Republic,6984.0
23305,Warnemunde,54.1753,12.0883,Germany,5937.0
23306,Pilawa Gorna,50.6833,16.75,Poland,6673.0
23307,Westmere,42.6883,-73.8744,United States,7001.0
23308,Ovacik,39.3586,39.2164,Turkey,6998.0
23309,Pryvillya,48.9999,38.2948,Ukraine,6970.0
23310,Providence,39.9092,-76.233,United States,6998.0
23311,Lipany,49.1528,20.9619,Slovakia,6484.0
23312,Tappan,41.0269,-73.952,United States,6996.0
23313,Torrisholme,54.066,-2.83,United Kingdom,6755.0
23314,Crete,40.6254,-96.9575,United States,6995.0
23315,Nambucca Heads,-30.6414,152.9906,Australia,6327.0
23316,Adel,31.1272,-83.4232,United States,6989.0
23317,Wynyard,-41.0,145.7167,Australia,6001.0
23318,Zirc,47.2633,17.8725,Hungary,6805.0
23319,Sekigahara,35.3653,136.4672,Japan,6848.0
23320,Hillsboro,39.1668,-89.4735,United States,6984.0
23321,Pauliceia,-21.3167,-51.8333,Brazil,6981.0
23322,Kieta,-6.2058,155.6227,Papua New Guinea,6958.0
23323,Stare Mesto,49.0752,17.4334,Czechia,6661.0
23324,Zeliezovce,48.0486,18.6603,Slovakia,6859.0
23325,Joshua Tree,34.1236,-116.3128,United States,6980.0
23326,Keyport,40.4327,-74.2011,United States,6977.0
23327,Conemaugh Township,40.2432,-78.966,United States,6977.0
23328,Summit Township,42.0375,-80.0513,United States,6976.0
23329,North Mackay,-21.1216,149.1783,Australia,5933.0
23330,Ammanford,51.8,-3.993,United Kingdom,5411.0
23331,Schelklingen,48.3756,9.7325,Germany,6883.0
23332,Stevensville,38.9745,-76.3184,United States,6973.0
23333,Hulin,49.3169,17.4638,Czechia,6762.0
23334,Brier,47.7924,-122.2734,United States,6970.0
23335,Sedona,34.8574,-111.7951,United States,6969.0
23336,Milltown,40.4504,-74.4351,United States,6967.0
23337,Kamihonbetsu,43.1244,143.6106,Japan,6948.0
23338,Hamilton,46.2527,-114.1598,United States,6964.0
23339,Ashland,46.5801,-90.8715,United States,6962.0
23340,Leitchfield,37.4862,-86.2857,United States,6962.0
23341,Bohlen,51.2025,12.3858,Germany,6687.0
23342,Cos Cob,41.0513,-73.5931,United States,6959.0
23343,Creswell,43.9212,-123.016,United States,6959.0
23344,Edwardsburgh/Cardinal,44.8333,-75.5,Canada,6959.0
23345,Hartberg,47.2806,15.97,Austria,6650.0
23346,Bondurant,41.6986,-93.4551,United States,6958.0
23347,San Buenaventura,29.8333,-107.4667,Mexico,6957.0
23348,Mechanicstown,41.4472,-74.3914,United States,6957.0
23349,Wytheville,36.953,-81.0881,United States,6956.0
23350,Freckleton,53.753,-2.867,United Kingdom,6019.0
23351,Haworth,53.83,-1.96,United Kingdom,6379.0
23352,Stratford,39.829,-75.0156,United States,6955.0
23353,Catoosa,36.1832,-95.7662,United States,6953.0
23354,Bern,40.4005,-75.9933,United States,6952.0
23355,Paintsville,37.8167,-82.8088,United States,6952.0
23356,Neoi Epivates,40.501,22.909,Greece,5984.0
23357,Ipeuna,-22.4333,-47.7167,Brazil,6914.0
23358,Artern,51.3667,11.3,Germany,6799.0
23359,Peru,44.582,-73.556,United States,6950.0
23360,Kamitakeshi,36.2719,138.3161,Japan,6847.0
23361,Desert Palms,33.779,-116.293,United States,6947.0
23362,Ixtenco,19.2514,-97.8942,Mexico,6791.0
23363,Cliza,-17.5919,-65.9342,Bolivia,6534.0
23364,Epping,43.0501,-71.0747,United States,6945.0
23365,Bremen,33.7085,-85.1495,United States,6945.0
23366,Enderby,52.5881,-1.2092,United Kingdom,6314.0
23367,Qatsrin,32.9925,35.6906,Israel,6913.0
23368,Prairie View,30.085,-95.9897,United States,6944.0
23369,Ocean City,38.3998,-75.0715,United States,6944.0
23370,Kochi,34.7572,138.9875,Japan,6874.0
23371,Cochituate,42.329,-71.3576,United States,6942.0
23372,Barberton,45.7136,-122.6115,United States,6941.0
23373,Madison Park,40.4461,-74.2959,United States,6941.0
23374,Franklin Township,39.8865,-80.1807,United States,6941.0
23375,Whitinsville,42.1146,-71.6688,United States,6941.0
23376,Selfoss,63.9322,-21.0002,Iceland,6878.0
23377,Decatur,33.2262,-97.5876,United States,6939.0
23378,Kornik,52.2367,17.0986,Poland,6807.0
23379,Roskovec,40.7375,19.7022,Albania,6657.0
23380,Hochstadt an der Donau,48.6112,10.5682,Germany,6756.0
